BUYER;nodes;TOTALPAID;AVGPRICE
0xc402ae3f61d6eb98b85ee7c11ed5f6a13e314af0;1;0.2633;0.2633
0x6a8b14912fe74baedd196e1904d0d2a9b29f966f;33;12.8784;0.39025454545454547
0x16edbf03fa522d5cce0064e76405237f3234b53a;21;5.6409;0.26861428571428575
0x0a9be70a67e8b7e20b1a67881b963fabf4babeb2;1;0.4217;0.4217
0x7e0867be60257243586431cde9d8623eff1aacd9;1;0.4217;0.4217
0x9a859d87569f5ae44f932b6c7b3c50a39ff50b3b;2;0.3387;0.16935
0x6fe702992a3c050b0fa0e9f94df3b684723074ee;2;0.4142;0.2071
0x27585876a42b53805bb57a34896b07ba18f546ef;1;0.158;0.158
0xe5b304d79437e8c4ba1e7717e4ee81017a233643;1;0.158;0.158
0x5680d666a8a04c070c9edc0dc6d1bb41409dd367;1;0.2962;0.2962
0x8d15f13fe9cb7cec8718e5fc1022e2ab4bdbed70;11;4.1239;0.3749
0x9b834df8fba88beecbf786729729c7ac97cf562d;7;2.6243;0.3749
0x8830d88cd8b8b82c37eb4668587405d9d657b96a;1;0.1316;0.1316
0x3d7bac7da13d657e749b76205d39f45ea1f272c3;1;0.3332;0.3332
0x3eddebed06b16102fa8c12c33c7cf8943ab0cb54;1;0.3332;0.3332
0x5dd7cb3d95a4226316755bf4bf134216ce4ee1ba;24;12.2256;0.5094
0xc6fc12eba58ce799de0975da909b6d13ced54809;1;0.234;0.234
0xa17a94c921f2ecf0af9ed3d6ce6d857275dc692a;1;0.234;0.234
0x475c73ca2120dd71d838ba9eadee9f633484cc8d;1;0.234;0.234
0x994b9acb32e8eb44e098c909c47a613bc3c76e72;4;0.8553;0.213825
0x2a0a7a70844877362e5ad1e33d5045a2fdd6678f;1;0.234;0.234
0xf63902efe8d77183882c1320052f0abb425e8ed2;18;5.3316;0.2962
0x7939a4a8a6218a6198bf0832700009b46d109565;1;0.2962;0.2962
0xf9d4f300020d03b3eb42fa0c28b274c3c43453c8;27;6.318;0.234
0xd2c991cc5bdbb00195b8c814abc1cb195dbba910;1;0.1817;0.1817